XMDUENT,XMDUSITE,XMDUDOCNO,XMDUSEQ,XMDU002,XMDU008,XMDU011
3,JINPAO,JP2101-20161223864,2.0,8021103100900000,PC,0.0
3,JINPAO,JP2101-20161223864,3.0,8021103086600000,PC,0.0
3,JINPAO,JP2101-20161223864,4.0,8021103081800000,PC,0.0
3,JINPAO,JP2101-20161223864,5.0,8021103076500000,PC,0.0
3,JINPAO,JP2101-20161223864,6.0,8021103081900000,PC,0.0
3,JINPAO,JP2101-20161223864,7.0,8021103072900000,PC,0.0
3,JINPAO,JP2101-20161223865,1.0,8021103342300000,PC,0.0
3,JINPAO,JP2101-20161223865,2.0,8021103342700000,PC,0.0
3,JINPAO,JP2101-20161223865,3.0,8021103067500000,PC,0.0
3,JINPAO,JP2101-20161223865,4.0,8021103342500000,PC,0.0
3,JINPAO,JP2101-20161224007,7.0,8021103128200000,PC,0.0
3,JINPAO,JP2101-20161223985,1.0,8021103202900000,PC,71.79
3,JINPAO,JP2101-20161223985,2.0,8021103203700000,PC,65.95
3,JINPAO,JP2101-20161223985,3.0,8021103202800000,PC,64.5
3,JINPAO,JP2101-20161223985,4.0,8021103202400000,PC,54.36
3,JINPAO,JP2101-20161223985,5.0,8021103201800000,PC,53.61
3,JINPAO,JP2101-20161223985,6.0,8021103198200000,PC,48.79
3,JINPAO,JP2101-20161223531,5.0,8021103150800001,PC,291.58
3,JINPAO,JP2101-20161223985,8.0,8021103203600000,PC,46.94
3,JINPAO,JP2101-20161223985,9.0,8021103203200000,PC,37.58
3,JINPAO,JP2101-20161223986,1.0,8021103294200000,PC,31.03
3,JINPAO,JP2101-20161223986,2.0,8021103293100000,PC,46.24
3,JINPAO,JP2101-20161223986,3.0,8021103293900000,PC,46.24
3,JINPAO,JP2101-20161223986,4.0,8021103294400000,PC,34.17
3,JINPAO,JP2101-20161223987,1.0,8021103195300000,PC,46.0
3,JINPAO,JP2101-20161224007,8.0,8021103067100000,PC,0.0
3,JINPAO,JP2101-20161224007,9.0,8021103065200000,PC,0.0
3,JINPAO,JP2101-20161224007,10.0,8021103066300000,PC,0.0
3,JINPAO,JP2101-20161224007,11.0,8021103065300000,PC,0.0
3,JINPAO,JP2101-20161224007,12.0,8021103064000000,PC,0.0
3,JINPAO,JP2101-20161224007,13.0,8021103092400000,PC,0.0
3,JINPAO,JP2101-20161224007,14.0,8021103102000000,PC,0.0
3,JINPAO,JP2101-20161224007,15.0,8021103104000000,PC,0.0
3,JINPAO,JP2101-20161224007,16.0,8021103106600000,PC,0.0
3,JINPAO,JP2101-20161224007,17.0,8021103083300000,PC,0.0
3,JINPAO,JP2101-20161224007,18.0,8021103118800000,PC,0.0
3,JINPAO,JP2101-20161224007,19.0,8021103112200000,PC,0.0
3,JINPAO,JP2101-20161224007,20.0,8021103092900000,PC,0.0
3,JINPAO,JP2101-20161224008,1.0,8021103100600000,PC,0.0
3,JINPAO,JP2101-20161224008,2.0,8021103095600000,PC,0.0
3,JINPAO,JP2101-20161224010,4.0,8021103084300000,PC,0.0
3,JINPAO,JP2101-20161224010,5.0,8021103076100000,PC,0.0
3,JINPAO,JP2101-20161224010,6.0,8021103069500000,PC,0.0
3,JINPAO,JP2101-20161224010,7.0,8021103070300000,PC,0.0
3,JINPAO,JP2101-20161224010,8.0,8021103068500000,PC,0.0
3,JINPAO,JP2101-20161224010,9.0,8021103075400000,PC,0.0
